iter	Passed	Remaining
0	8	8077
1	14	7322
2	21	7138
3	28	7031
4	35	7017
5	42	7034
6	48	6888
7	54	6785
8	60	6704
9	66	6586
10	72	6513
11	78	6455
12	85	6467
13	91	6435
14	97	6411
15	103	6357
16	109	6312
17	114	6266
18	121	6252
19	126	6208
20	132	6185
21	138	6170
22	145	6162
23	151	6151
24	157	6134
25	163	6125
26	169	6096
27	175	6083
28	181	6068
29	186	6042
30	193	6038
31	199	6025
32	204	5997
33	210	5994
34	216	5978
35	222	5962
36	228	5959
37	235	5951
38	240	5937
39	247	5935
40	253	5925
41	259	5912
42	264	5884
43	269	5863
44	275	5856
45	282	5851
46	288	5845
47	294	5833
48	300	5831
49	306	5819
50	312	5816
51	318	5815
52	324	5799
53	330	5792
54	336	5785
55	342	5777
56	348	5758
57	354	5755
58	360	5746
59	366	5741
60	372	5730
61	377	5716
62	383	5707
63	389	5701
64	395	5692
65	401	5675
66	407	5668
67	412	5660
68	419	5657
69	424	5644
70	430	5638
71	436	5632
72	443	5626
73	449	5619
74	455	5612
75	460	5602
76	467	5598
77	473	5594
78	478	5582
79	485	5577
80	491	5571
81	497	5566
82	503	5564
83	509	5560
84	515	5553
85	521	5547
86	527	5532
87	532	5523
88	538	5517
89	544	5508
90	550	5500
91	556	5495
92	562	5488
93	568	5483
94	575	5480
95	581	5478
96	587	5468
97	593	5463
98	599	5460
99	606	5455
100	611	5444
101	617	5436
102	623	5430
103	629	5425
104	635	5418
105	641	5413
106	647	5406
107	653	5397
108	659	5392
109	665	5383
110	671	5377
111	677	5371
112	683	5362
113	688	5354
114	695	5348
115	700	5341
116	706	5334
117	712	5329
118	719	5323
119	725	5318
120	731	5314
121	737	5307
122	743	5302
123	749	5294
124	755	5286
125	761	5278
126	766	5268
127	772	5262
128	778	5259
129	785	5254
130	790	5246
131	797	5241
132	802	5232
133	808	5223
134	813	5214
135	819	5207
136	825	5200
137	831	5191
138	836	5183
139	843	5178
140	849	5173
141	855	5168
142	861	5161
143	867	5155
144	873	5150
145	879	5144
146	885	5140
147	891	5132
148	897	5128
149	904	5123
150	910	5117
151	916	5111
152	922	5104
153	928	5099
154	934	5094
155	940	5086
156	946	5079
157	952	5074
158	958	5069
159	964	5064
160	970	5055
161	976	5050
162	982	5046
163	988	5040
164	995	5037
165	1001	5031
166	1007	5024
167	1013	5018
168	1019	5015
169	1025	5008
170	1031	5000
171	1037	4995
172	1043	4988
173	1049	4982
174	1056	4979
175	1062	4973
176	1068	4967
177	1074	4962
178	1080	4955
179	1086	4950
180	1092	4945
181	1098	4938
182	1104	4932
183	1110	4926
184	1116	4919
185	1122	4914
186	1128	4907
187	1135	4903
188	1141	4897
189	1147	4890
190	1153	4884
191	1159	4878
192	1165	4873
193	1171	4867
194	1177	4862
195	1184	4857
196	1190	4852
197	1196	4846
198	1202	4840
199	1208	4834
200	1214	4829
201	1221	4824
202	1227	4818
203	1233	4813
204	1239	4808
205	1246	4802
206	1252	4797
207	1258	4792
208	1264	4784
209	1270	4777
210	1276	4771
211	1281	4764
212	1288	4760
213	1294	4753
214	1300	4748
215	1306	4742
216	1312	4735
217	1318	4729
218	1324	4724
219	1330	4717
220	1336	4709
221	1342	4704
222	1348	4698
223	1354	4692
224	1360	4687
225	1367	4682
226	1373	4675
227	1379	4670
228	1385	4664
229	1391	4658
230	1397	4652
231	1403	4647
232	1409	4640
233	1415	4634
234	1421	4628
235	1428	4623
236	1434	4617
237	1440	4612
238	1446	4607
239	1452	4600
240	1458	4594
241	1465	4589
242	1471	4582
243	1477	4577
244	1483	4571
245	1489	4566
246	1495	4559
247	1501	4554
248	1508	4548
249	1514	4543
250	1520	4538
251	1526	4530
252	1532	4524
253	1538	4518
254	1544	4511
255	1550	4506
256	1556	4500
257	1562	4494
258	1568	4488
259	1574	4481
260	1580	4475
261	1587	4470
262	1593	4465
263	1599	4458
264	1605	4453
265	1611	4448
266	1618	4442
267	1624	4436
268	1630	4431
269	1636	4425
270	1643	4420
271	1648	4413
272	1655	4407
273	1661	4402
274	1667	4396
275	1673	4388
276	1679	4383
277	1685	4378
278	1692	4372
279	1698	4366
280	1704	4360
281	1710	4355
282	1716	4349
283	1722	4342
284	1728	4336
285	1734	4330
286	1740	4325
287	1746	4318
288	1753	4312
289	1758	4305
290	1764	4299
291	1770	4292
292	1776	4286
293	1782	4280
294	1788	4275
295	1794	4268
296	1800	4262
297	1806	4255
298	1812	4249
299	1818	4243
300	1824	4236
301	1830	4230
